                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2926,                 8.3362,                 3.7826,                0.00019,                0.13721,                0.00042,                0.00012,                 3.6319,                 7.4984,                 3.4659,             0.00041431,             0.00041431,             0.00041431
                      2,                 3.7022,                 6.0892,                 3.0587,                0.00065,                0.21573,                0.00071,                0.00016,                  3.595,                 4.8952,                 3.0357,             0.00082275,             0.00082275,             0.00082275
                      3,                 3.5677,                 4.7008,                 2.8746,                0.00093,                0.30685,                0.00102,                0.00027,                 3.5197,                 3.9753,                 3.0075,              0.0012229,              0.0012229,              0.0012229
                      4,                 3.5426,                 4.3704,                 2.7938,                0.00092,                0.35392,                0.00099,                0.00026,                 3.3924,                 4.0072,                 2.8671,              0.0012129,              0.0012129,              0.0012129
                      5,                 3.4255,                 4.1926,                 2.7098,                0.00129,                0.31762,                0.00141,                0.00039,                 3.2686,                 3.9941,                 2.9017,              0.0012129,              0.0012129,              0.0012129
                      6,                 3.3543,                 4.2231,                 2.7037,                0.00081,                0.44256,                0.00206,                0.00056,                 3.1488,                 4.0442,                 2.7749,              0.0012005,              0.0012005,              0.0012005
                      7,                 3.2988,                 4.0884,                 2.6589,                0.00115,                0.41856,                0.00392,                0.00097,                 3.0741,                 3.9065,                  2.749,              0.0011881,              0.0011881,              0.0011881
                      8,                 3.1925,                 4.0491,                 2.6276,                 0.0025,                0.50382,                0.00515,                0.00133,                 3.0388,                 3.8169,                 2.6626,              0.0011757,              0.0011757,              0.0011757
                      9,                 3.1695,                 4.0053,                 2.5854,                0.00325,                0.51578,                0.01099,                0.00254,                 2.9722,                 3.8099,                 2.6619,              0.0011634,              0.0011634,              0.0011634
                     10,                 3.0875,                 3.8697,                 2.5298,                0.00227,                0.62121,                0.01132,                0.00259,                 2.8914,                 3.7508,                 2.6065,               0.001151,               0.001151,               0.001151
                     11,                  3.042,                 3.8538,                 2.5237,                0.00364,                0.58891,                0.01363,                0.00329,                 2.8081,                 3.6498,                 2.6009,              0.0011386,              0.0011386,              0.0011386
